Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,Melodic Context
Cangrejito,Music en Linea. (2005). Audio recording by Groupo Zapallo.,Circle Game,"Animals, Crabs, Movement",Brazil,drmfsl d',do,do hexatonic ext',E,2/4,"ta,ti-ti,rest,ti-tam,ti-rest,tika,anacrusis",ti-rest tika,fa,ABCB,ABCB,"Practice tika, Practice fa, Language: Spanish","4,5","Students form a standing circle, holding hands.
Ms. 1-8 – Students sing and walk to the right 
Ms. 9-16 – Students walk sideways while making pinching motions.
source: bethsnotesplus.com",mfssfmllrmffmrsmfsd'smrlfrdsssdssfmllfrssd'smrlfrdsssd,tk tt tt ttm tk tt tt t tiz tk tt tt tt tt tt tt t z tt tt ttm t t t z tt tt tt tt tt tt t z,,"Cangrejito-Traditional_Notation.pdf, Cangrejito-Stick_Notation.pdf, Cangrejito-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32160980/embed,"Cangrejito, cangrejito, Cangrejito de coral. Cangrejito pata chueca que no sabe caminar. Siempre de costado, viene y va, Siempre de costado cangrejito de coral.",mfsfmlrmfmrsmfsd'smrlfrdsdsfmlfrsd'smrlfrdsd
Col o Coco,Beth's Notes. Accessed 2026.,Tongue Twister,"Food, Silly",Unknown,mfsltd',mi,do hexachordal ext',G,4/4,"ta,ti-ti,ti-tika,tim-ka",tim-ka,ti,AB,AA,"Practice tim-ka, Language: Spanish","3,4,5",No,sssslsfmsssslsmssttttd'tlssssslsfm,tmk tt tt tt tmk tt tt ttk tmk tt tt tt tmk tt ttk t,,"Col o Coco-Traditional_Notation.pdf, Col o Coco-Stick_Notation.pdf, Col o Coco-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32161310/embed,"Yo no compro col o coco; col o coco no compro; porque yo no compro col o coco, yo no compro col o coco.",slsfmslsmstd'tlslsfm
El Florón,"Writers' Program of the WPA in the State of New Mexico. The Spanish-American Song and Game Book. New York: A.S. Barnes, 1932.16-17.",Circle Game,"Flowers, Nature, Guessing","USA, New Mexico",drm sl,do,do pentatonic,D,2/4,"ta,ti-ti,rest,ti-tika,anacrusis",ti-tika,re,AA,AB,"Practice ti-tika, Language: Spanish","1,2,3","Students form a seated circle.
Students sing the song with their eyes closed while “It” walks outside the circle and places a flower in one student's hands. Whoever can guess who has the flower is the next “It.”
source: bethsnotesplus.com, Chicago Area Kodály Educators",dmsssllssdrmmrrddmssllssdrmmrrd,tt ttk tt tt tt tt tt t tt tt tt tt tt tt tt t z,,"El Floron-Traditional_Notation.pdf, El Floron-Stick_Notation.pdf, El Floron-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32161550/embed,El florón está en la mano Y en la mano el florón. Adivine a quién lo tiene O se queda de plantón.,dmslsdrmrdmslsdrmrd
Alligator Chant,Beth's Notes. Accessed 2026.,Chant,"Animals, Alligators",Unknown,,,,,4/4,"ta,ti-ti,tika-tika",tika-tika,,,ABAC,Introduce tika-tika,"2,3",No,,tktk t tktk t tktk tt tt t tktk t tktk t tktk tktk tktk t,,"Alligator Chant-Traditional_Notation.pdf, Alligator Chant-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/32180801/embed,"Alligator high, alligator low, Alligator fast and then he's slow. Alligator up, al li ga tor down, Alligator on the farm and also in the town.",
Great White Shark Chant,Variation of Alligator Chant via Beth's Notes. Accessed 2026.,Chant,"Animals, Sharks",Unknown,,,,,4/4,"ta,ti-ti,tika-ti",tika-ti,,,ABAC,Introduce tika-ti,"2,3",No,,tkt t tkt t tkt tt tt t tkt t tkt t tkt tkt tt t,,"Great White Shark Chant-Traditional_Notation.pdf, Great White Shark Chant-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/32181080/embed,"Great white shark high, great white shark low, Great white shark fast and then he's slow. Great white shark smell, great white shark see, Great white shark, on the hunt, don't bite me.",
Sea Creature Chant,Variation of Alligator Chant via Beth's Notes. Accessed 2026.,Chant,"Animals, Sea, Ocean",Unknown,,,,,4/4,"ta,ti-ti,tika-ti,ti-tika","ti-tika, tika-ti",,,ABAC,Introduce ti-tika,"2,3",Student Prompt: students take turns thinking of a sea creature and giving clues for other students to guess. Sing the name of the new creature in the song and practice rhythms/syllable counting,,ttk t ttk t ttk tt tt t ttk t ttk t ttk tkt ttk t,,"Sea Creature Chant-Traditional_Notation.pdf, Sea Creature Chant-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/32181329/embed,"Sea creature high, Sea creature low, Sea creature fast and then he's slow. Sea creature where? Lives in the sea, Sea creature on your mind, what could it be?",
Barnacle Bill,"Aubin, N. et al. (1981). Silver Burdett Music, Early Childhood. Englewood Cliffs, NJ. Silver Burdett.",Strophic with Refrain,"Animals, Ocean, Story",Canada,"s, drm sl",do,"do pentatonic ext,",C,6/8,"ta,ti-ti-ti,ta-ti,tum,rest,to-o-o,anacrusis",tum,"so,",ABABABABAB,ABABABABAB,Practice 6/8,"2,3,4,5",No,"s,ddddddrmmmmmslsmslsmmrd",ti ttt t ti tum z ti t ti t ti tum z tum tum tum tum tum tum tum tum too too too,,"Barnacle Bill-Traditional_Notation.pdf, Barnacle Bill-Stick_Notation.pdf, Barnacle Bill-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32192222/embed,"When Barnacle Bill was one, he learned to play the drum, Bonnie over in the clover, Half past one. When Barnacle Bill was two He learned to buckle his shoe When Barnacle Bill was three He learned to climb a tree When Barnacle Bill was four He learned to scrub the floor When Barnacle Bill was five
He learned to swim and dive","s,drmslsmslsmrd"
Black Socks,Beth's Notes. Accessed 2026. Melody by Banks Winter (1884). White Wings. Lyrics anonymous.,Parody Song,"Silly, Clothing, Colors",USA,"s,l,t,ddirmfs",do,do diatonic with neighbors,C,6/8,"ta,ti-ti-ti,ta-ti,tum,ti-rest,ti",tum,di,ABAC,ABAC,"Practice 6/8, Practice chromatic","2,3,4,5",No,"smrdt,drdl,s,drmfmmrdirsmrdt,drdl,s,drmfmrl,t,ds,ds,ds,ds,d",tum t ti ttt ttt ttt ttt ttt t tiz tum t ti ttt ttt ttt ttt ttt t ti ti tiz ti ti tiz ti ti tiz ti ti z,,"Black Socks-Traditional_Notation.pdf, Black Socks-Stick_Notation.pdf, Black Socks-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32192825/embed,"Black socks, they never get dirty, the longer you wear them the blacker they get. Sometimes I think I should wash them, but something inside me says, ""No no not yet! Not yet, not yet, not yet, not yet!""","smrdt,drdl,s,drmfmrdirsmrdt,drdl,s,drmfmrl,t,ds,ds,ds,ds,d"
Geography Song,"Wier, A. (1918). The Child's Own Music Book. New York, NY. World Syndicate Company Inc.",Strophic with Refrain,"Geography, Nature",USA,"r,m,f,s,l,t,drm",do,do diatonic,E,6/8,"ta,ti-ti-ti,ta-ti,tum",tum,"ti,",AB,AB,Practice 6/8,"4,5",No,"s,mrdt,ddl,s,f,m,f,r,r,m,f,s,s,l,l,dds,s,ddrrrs,s,s,ddmrdt,dl,s,f,f,f,r,m,m,f,s,l,l,l,ddds,s,s,ddrrrs,s,s,dd",ti t ti t ti ttt t ti t ti t ti t ti t ti t ti t ti t ti t ti ttt ttt tum tum t ti t ti t ti tum ttt tum ttt tum ttt ttt ttt t ti ttt ttt tum t,,"Geography Song-Traditional_Notation.pdf, Geography Song-Stick_Notation.pdf, Geography Song-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32193779/embed,"Oh have you heard geography sung? For if you've not, it's on my tongue. About the earth in air that's hung, All covered with green little islands. Oceans, gulfs and bays and seas, Channels and straights, sounds, if you please, Guest archipelagoes, too, and all these are covered with green little islands. All o'er the earth are water and land, Beneath the ships or where we stand And far beyond the ocean strand Are thousands of green little islands. ","s,mrdt,dl,s,f,m,f,r,m,f,s,l,ds,drs,dmrdt,dl,s,f,r,m,f,s,l,ds,s,drs,d"
Scrapin' Up Sand in the Bottom of the Sea,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.","Strophic with Refrain, Circle Game, Student Prompt","Movement, Animals, Love, Liza Jane","USA, Missouri","s, drm sl d'",do,do pentatonic ext;,D,2/4,"ta,ti-ti,rest,tika-tika,ti-tika,tika-ti,syn-co-pa,tim-ka,ti-tam",tim-ka,do',ABCD,ABCD,"Practice ti-tika, Practice tika-ti","3,4,5","Students form a standing circle.
For each verse, students break out of the circle to improvise movements based on the text. By the chorus, they must reform the circle.
While singing the chorus, repeat the 4 beat pattern: pat thighs, clap, clap both neighbor's hands, clap.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III.
","ddddddmssssmrdrs,ddddddmssssmrdrrdmssld'sllmsmssld'rmmrrd",ttk ttk tktk t tk tm ttm tkt ttk tktk t tkt tmk t z t tmk scp scp t z t tmk scp tt tmk t z,,"Scrapin Up Sand in the Bottom of the Sea-Traditional_Notation.pdf, Scrapin Up Sand in the Bottom of the Sea-Stick_Notation.pdf, Scrapin Up Sand in the Bottom of the Sea-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32984447/embed,"Scrapin' up sand in the bottom of the sea, Shiloh, Shiloh, Scrapin' up sand in the bottom of the sea, Shiloh, Liza Jane. Oh, how I love her, Oh, Liza Jane, Oh, how I love her, Goodbye, Liza Jane. Humpbacked mule and I'm bound to ride, Shiloh, Shiloh Hopped up a chicken and he flew upstairs Black my boots an' a make them shine Hawk caught a chicken and he flew upstairs Hawk flew down and picked that goose Standin' on a platform waitin' for a train","dmsmrdrs,dmsmrdrdmsld'slmsmsld'rmrd"
Down Came a Lady,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.","Circle Game, Student Prompt","Colors, Clothing, Royalty",USA,"s,l, drm",do,"do pentatonic ext,",F,2/4,"ta,ti-ti,rest",rest,"so,",AB,AB,"Practice rest, Practice low so","K,1,2","Students form a standing circle, holding hands. One student stands in the center.
While singing, students circle right. At the end of the song, the center student points to someone in the circle and all replace “blue” with the color they are wearing (optionally solo sung). The selected student leaves the circle and walks on the outside in the opposite direction. Repeat until all students have formed a new circle on the outside. During the final repetition, all students in the circle point to the student in the middle and sing the name of the color they are wearing.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III.

Alternate game: Students are in a standing or seated circle. They sing the song and the teacher sings the color at the end, and students must point and guess who the teacher is referring to.
","dddmmddmdddmmmdmdl,s,d",t tt t t t t t z t tt tt tt tt tt t z,,"Down Came a Lady-Traditional_Notation.pdf, Down Came a Lady-Stick_Notation.pdf, Down Came a Lady-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/32985227/embed,"Down came a lady, down came two, Down came Lord Daniel's wife and she was dressed in blue.","dmdmdmdmdl,s,d"
Thomas a Tattamus,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.",Chant,"Spelling, Riddle",England,,,,,"6/8, 3/8","ti-ti-ti,ta-ti,ti-rest",ti-rest,,,ABCD,"Practice 6/8, Meter Change, Intermittent Interpolation of Altered Meters","K,1,2",Riddle within the song: Answer: 28 T's,,ttt ttt t ti t ti t ti t ti t ti t ti ttt ttt ttt ttt tt tiz ttt t ti ttt t tiz,,"Thomas A Tattamus-Traditional_Notation.pdf, Thomas A Tattamus-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/32985533/embed,"Thomas a Tattamus took two T's To tie two tups to two tall trees, To frighten the terrible Thomas a Tattamus, Tell me how many T's there are in all that?",
"Lady, Lady","Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.",Lullaby,"Babies, Cleaning","USA, Connecticut",drmfs,do,do pentachordal,G,6/8,"tum,ta,ta-ti,ti-rest,dotted-patterns",dotted-patterns,fa,AABA,AABA,"Practice 6/8, Practice fa","K,1,2",No,smsmrrsssmdsmsmrrsssmdffrmmsffrrmmmssmsmrrsssmd,tum t tiz tum t tiz tum ti tmt tik tum t tiz tum t tiz tum t tiz tum ti tmt tik tum t tiz t ti t tiz t ti t tiz t tk t ti tttk t tiz tum t tiz tum ti tiz tum ti tmt tik tum tum,,"Lady Lady-Traditional_Notation.pdf, Lady Lady-Stick_Notation.pdf, Lady Lady-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33014378/embed,"Lady, Lady, Buy a broom for my baby. Sweep it low, Sweep it high, Sweep the cobwebs out of the sky, Lady, Lady, Buy a broom for my baby.",smsmrsmdsmsmrsmdfrmsfrmsmsmrsmd
"John, the Rabbit","Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.",Call and Response,"Animals, Gardens, Vegetables","USA, Mississippi","s,l, drmfs",do,"do hexatonic ext,",A,2/4,"ta,ti-ti,ti,ti-rest,tika,tika-ti,ti-tika,tim-ka,ka-tim,anacrusis","ka-tim, tim-ka",fa,AAABBBCCDE,ABBBCCDDEF,Practice melismatic glide,"K,1,2,3",No,"s,ddrmdds,s,ddrmdds,s,ddrmdds,s,ddl,s,s,dds,ddl,s,s,dds,ddl,s,s,dddsfrmdddsfrmddddddrmdddmdrddd",ti tmk tt tt tiz tk tt tt tt tiz tk tt tt tt tiz tk tt tkt tt tiz ti tmk tkt tt tiz ti tmk tkt tt tiz ti ktm ktm tt tiz ti ktm ktm tt tiz ti ttk ktm tt tiz ti tkt t tt tiz,,"John the Rabbit-Traditional_Notation.pdf, John the Rabbit-Stick_Notation.pdf, John the Rabbit-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33015131/embed,"Oh, John, the rabbit, Yes, Ma'am! Had a mighty habit, Yes, Ma'am! Jumpin' in my garden, Yes, Ma'am! Cuttin' down my cabbage, Yes, Ma'am! My fresh tomatoes, Yes, Ma'am! My sweet potatoes, Yes, Ma'am! And if I live Yes, Ma'am! To see next fall Yes, Ma'am! I ain't gonna have, Yes, Ma'am! No cotton at all, Yes, Ma'am!","s,drmds,drmds,drmds,dl,s,ds,dl,s,ds,dl,s,dsfrmdsfrmdrmdmdrd"
The Riddle Song,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Volume III. Chicago, IL. GIA Publications Inc.","Riddle, Strophic","Riddles, Guessing, Questions","USA, Kentucky","s,l,t,drmfsl",do,"do diatonic ext,",A,4/4,"ta,ti-ti,tika-ti,tika-ka,tim-ka,ka-tim,ti-rest,anacrusis",tika-ka,"so,",ABBC,ABCD,"Practice strophic, Practice turns","1,2,3",No,"s,s,s,s,s,l,drdl,t,l,s,ddrrrrmslsmfmrddrrrdmsslsmfmrmrdl,s,l,ddrdl,t,l,d",ti tt tmk ktm tt t tmk t tiz ti tkk tmk ktm tiz ti t tmk t tiz ti tkt tt tkt tiz ti t tmk t tiz ti tt tt tkt tiz ti t tmk tum,,"The Riddle Song-Traditional_Notation.pdf, The Riddle Song-Stick_Notation.pdf, The Riddle Song-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33039329/embed,"I gave my love a cherry that had no stone, I gave my love a chicken that had no bone, I told my love a story that had no end, I gave my love a baby with no cry in'. How can there be a cherry that has no stone? How can there be a chicken that has no bone? How can there be a story that has no end? How can there be a baby with no cryin'? A cherry when it's bloomin', it has no stone, A chicken when it's pippin', it has no bone, The story that I love you, it has no end, A baby when it's sleepin', has no cryin'.","s,l,drdl,t,l,s,drmslsmfmrdrdmslsmfmrmrdl,s,l,drdl,t,l,d"
I've Been to Harlem,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc. Modified for clarity.",Play Party,"Travel, Boats, Sailing, Ocean",USA,"s,l, drm sl",do,"do pentatonic ext,",D,2/2,"ta,ti-ti,rest,tim-ka,ka-tim,tie,swing,anacrusis","ka-tim, tim-ka","so,",ABCA,ABCD,Practice wring the dishrag move,"2,3,4,5","Played with an odd number of students. Students form two concentric standing circles. Partners hold each others' hands in skating position. The single student stands in the middle.
M. 1-7: Partners walk around counterclockwise on the half note beat. The single student walks the opposite way or wanders around.
M. 8: On ‘over', partners wring the dishrag.
M. 9-15: Partners drop hands. Outside circle continues walking counterclockwise, inner circle turns and walks clockwise. The single students joins the inner circle.
M. 16: On the final ‘cean' of ‘ocean', the inner circle must quickly find an outer circle partner. One player will be left with no partner, and the game repeats.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties.
","l,dddl,s,s,dddl,s,dddddmmsmdsmmsmddl,s,dddmmssmmrrddmssrmssslsslsmrmrs,s,dddl,s,s,ddddl,s,s,dmsmmdrd",t tt t tmk t tt t t t tt t t t ktm t t t t ktm t t t t t t tt tt tt tt tt t t t t t z ktm t t z ktm t ktm tt ktm t t tt tt t t tt tt tt t tt t t t tt ktm t t z,,"Ive Been to Harlem-Traditional_Notation.pdf, Ive Been to Harlem-Stick_Notation.pdf, Ive Been to Harlem-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33205514/embed,"I've been to Harlem, I've been to Dover, I've traveled this wide world al over, Over, Over, three times over, Drink all you have to drink and turn the glasses over, Sailin' east, Sailin' west, Sailin' over the ocean, Oh, ya better watch out when the boat begins to rock, Or you'll lose your girl in the ocean.","l,dl,s,dl,s,dmsmdsmsmdl,s,dmssmrdmsrmslslsmrmrs,s,dl,s,dl,s,dmsmdrd"
Bingo,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Circle Game,"Animals, Dogs, Spelling",USA,"s,l,t,drmf",do,"do diatonic ext,",A,"6/8, 2/4","ti-ti-ti,ta-ti,tum,ti,rest,ta,ti-ti",tum,"ti,",ABCD,AABC,"Practice low ti, Practice 6/8","K,1,2,3,4","Students form a standing circle, holding hands. Optionally decide adjacent partner pairs if practicing a grand right left.
M. 1-4: circle left
M. 5-8: circle right
M. 9-10: 4 steps in
M. 11-12: 4 steps out
M. 13-16: repeat measures 9-12
After the song is over, spell BINGO and perform movements of your choice or use to practice a grand right left by passing your partner with every letter spelled.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties.
","s,ddddddddddt,drt,s,s,rrrrrrrrrrdrmrdmdfmrrt,mrdmdfmrdt,s,l,t,dd",tum ttt t ti ttt t ti t ti t ti tum z ti ttt t ti ttt t ti t ti t ti tum z t t tt t t t tt t t t tt tt tt tt t t ,,"Bingo-Traditional_Notation.pdf, Bingo-Stick_Notation.pdf, Bingo-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33206060/embed,"There was a big dog sat on the back porch, and Bingo was his name, There was a big dog sat on the back porch, and Bingo was his name. BINGO, BINGO, BINGO and Bingo was his nameo.","s,dt,drt,s,rdrmrdmdfmrrt,mrdmdfmrdt,s,l,t,d"
Cedar Swamp,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Play Party,"Dancing, Nature",USA,"l, drm sl d'",do,do pentatonic ext;,G,2/4,"ta,ti-ti,tika-tika,ti-tika,tim-ka,ka-tim,tie,repeat","ka-tim, tim-ka",do',ABCC,ABCC,"Practice high do, Practice form","1,2,3,4","Students form two lines of partners facing each other.
During the verse, the top couple sashays 8 beats down the set. At the end of the set, they right arm swing for 4 beats, then left arm swing for 4 beats.
During the chorus, all partners right arm swing 4 beats, left arm swing 4 beats, repeat. There is now a new top couple.
","sssd'd'd'lsmssld'slsssldllssmddmsmrddddddl,l,ddddrmdddddl,l,ddrrd",ttk ttk tt t tt tt ktm t tt tt tktk tmk tt tt tmk t tktk tkt tktk tt tktk tkt tktk t,,"Cedar Swamp-Traditional_Notation.pdf, Cedar Swamp-Stick_Notation.pdf, Cedar Swamp-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/33207578/embed,"Way low down in the cedar swamp, Water's deep and muddy, There I saw a pretty little miss, and there I kissed my honey. Swing a lady up and down, Swing a lady home, Swing a lady up and down, Swing a lady home.","sd'lsmsld'slsldlsmdmsmrdl,l,drmdl,drd"
"Mazoo, Mazoo","Trinka, J. (2008). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Play Party,"Cleaning, Chores, Silly, Partners","USA, Kentucky","s, t,drmfsl",do,"do diatonic ext,",C,2/4,"ta,ti-ti,ti,tam-ti,syn-co-pa,ti-rest","syn-co-pa, tam-ti","ti,",ABABAB,ABABAB,"Practice syn-co-pa, Introduce tam-ti, Practice fa","2,3,4","Students form a standing circle, one student stands on the inside.
Verse 1: The center student walks around the inside of the circle facing the other students while doing washing motions with their hand. The circle students can match their washing motion.
Verse 2: The center student continues walking and washing, and stops to face a partner at the end of the verse.
Verse 3: The two partners “hustle” by performing a jig step, hopping from one foot to the other while optionally pumping their arms up and down. The group can accelerate in tempo.
Both the original student and the new partner are now inside the circle, and Verses 1-3 are repeated until every student is selected.
source: Trinka, J. (2008). Folksongs, Singing Games, and Play Parties.
","s,dddrmssllssfffrmmmrrdt,d",ti tt tt scp tmt t tiz ti tt tt scp tt tt t ,,"Mazoo Mazoo-Traditional_Notation.pdf, Mazoo Mazoo-Stick_Notation.pdf, Mazoo Mazoo-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/34724621/embed,"Go wash your tiny windows, Mazoo, Mazoo, Go wash your tiny windows, my Suzy Anna Sue. Go face your tiny partner, Mazoo, Mazoo, Go face your tiny partner, my Suzy Anna Sue. Now let me see you hustle, Mazoo, Mazoo, Now let me see you hustle, my Suzy Anna Sue.","s,drmslsfrmrdt,d"
The Noble Duke of York,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Play Party,P,USA,"m, s, drmf",do,"do pentachordal ext,",B,2/4,"ta,ti-ti,ti-tika,tim-ka,ti-rest,ti",tim-ka,"mi,",ABABAB,ABABAB,Practice fa,"3,4,5","Students form 2 standing lines facing each other.
Verse 1: Top couple sashays down the center to the bottom of the set, and back to the top.
Verse 2: Top couple creates a movement to commute to the bottom of the set (walk, dance, ect.) and creates an arch with both sets of hands joined high above their heads by the end of the verse.
Verse 3: The next top couple joins hands as they walk down the center towards the arch. Each couple follows them through the arch and peels off back towards their original side. The arch couple stays at the bottom of the set and a new top couple prepares for repetition of verses 1-3.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties.
","mrds,m,s,ddrrrrrrmmmmmfffffmmrrd",tmk tt tt t tiz ti tt tt t tiz ti tt ttk ttk tt tt tt t,,"The Noble Duke of York-Traditional_Notation.pdf, The Noble Duke of York-Stick_Notation.pdf, The Noble Duke of York-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/34744886/embed,"Oh, the noble Duke of York, He had ten thousand men, He marched them up to the top of the hill and marched them down again. Oh, and when they were up they were up, And when they were down they were down And when they were only half-way up they were neither up nor down. Oh, a-hunting we will go, a-hunting we will go, we'll catch a fox and put him in a box and then we'll let him go.","mrds,m,s,drmfmrd"
A Hunting We Will Go,"Variation of Verse 3 of “The Noble Duke of York”: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Gate Game,"Animals, Hunting, Rhymes",USA,"m, s, drmf",do,"do pentachordal ext,",B,2/4,"ta,ti-ti,tika-tika,tim-ka,ti-rest,ti",tim-ka,"mi,",AB,AB,"Practice fa, Student prompt","K,1,2,3","Students form a standing circle. Two students are chosen to be the first gate, hands joined together and held up high for students to walk through.
As the students sing, walk in a circle with students going under the gate. On the word “catch”, the gate comes down and any students caught in the middle are added to the gate which becomes bigger and bigger as the song repeats with new lyrics.
Variation: Instead of adding on to one gate, any captured students form a new gate of two students each. If there is an odd number, the solo student can wait for a partner to complete their gate.
","mrds,m,s,ddrrrrrrmmmmffffffmmrrd",tmk tt tt t tiz ti tt tt t tiz ti tt tt tktk tt tt tt t,,"A Hunting We Will Go-Traditional_Notation.pdf, A Hunting We Will Go-Stick_Notation.pdf, A Hunting We Will Go-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/34745231/embed,"Oh, a hunting we will go, a hunting we will go, We'll catch a fox and put ‘em in a box and then we'll let ‘em go. Oh, a-hunting we will go Oh a hunting we will go, Oh a-hunting we will go, we'll catch a fish and put ‘em in a dish cat hat mouse house frog log bear chair goat boat snake cake


","mrds,m,s,drmfmrd"
P. P. Pollyanna,"Trinka, J. (1989). Folksongs, Singing Games, and Play Parties. Chicago, IL. GIA Publications Inc.",Circle Game,"Silly, Names, Dancing, Clothing",England,"s,l,t,drmfs",do,"do diatonic ext,",F,"2/4, 6/8","ta,ti-ti,ti-ti-ti,ta-ti,tum",tum,"ti,",ABCD,ABCD,"Practice 6/8, Meter Change","1,2,3","Students form a standing circle, one student stands on the inside.
M. 1-8: Center student skips around the inside of the circle
M 9-10: Center student stops in front of one student. Both put their hands on their hips.
M. 11-12: Both partners fold arms, clap hands once
M. 13-14: Both partners imitate a Scottish dance: One hand on hip, other hand raised, one foot raised flamingo style, hop on the other foot
M. 15-16: Both parters quickly bow and juts out their bottom, imagining a kilt flying upwards
Repeat the song now with 2 students in the center (the original center student and their partner). Repeat until everyone is in the center.
source: Trinka, J. (1989). Folksongs, Singing Games, and Play Parties.
","ddmsmdrrt,rt,s,ddmsmdrfrt,ddddddmsmdrrrt,l,s,ddddmsmds,t,dd",t t tt tt t t tt tt t t tt tt tt tt t t ttt t ti t ti tum t ti tum t ti tum ttt t ti t ti tum tum t ti tum tum,,"P P Pollyanna-Traditional_Notation.pdf, P P Pollyanna-Stick_Notation.pdf, P P Pollyanna-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/34745729/embed,"P. P. Pollyanna, P. P. Pollyanna, P. P. Pollyanna, Early in the morning. This is the way the teacher stands, Folds their arms, claps their hands, This is the way the Scottsmen dance, Whoops! Don't be cheeky! P P Pollyanna PP Pollyanna","dmsmdrt,rt,s,dmsmdrfrt,dmsmdrt,l,s,dmsmds,t,d"
